x,y,z,qx,qy,qz,qw
0,0,0,0,0,1,6.123233995736766e-17
0,0,0,0,0,1,6.123233995736766e-17
-0.003985882,4.88129746752418e-19,0,0,0,1,6.123233995736766e-17
-0.007977772,9.769952794611802e-19,0,0,0,1,6.123233995736766e-17
-0.011984444,1.4676710792053922e-18,0,0,0,1,6.123233995736766e-17
-0.01598053,1.957050494169379e-18,0,0,0,1,6.123233995736766e-17
-0.020173168,2.4705006211337657e-18,0,0,0,1,6.123233995736766e-17
-0.023972035,2.9357275701022027e-18,0,0,0,1,6.123233995736766e-17
-0.027984047,3.4270574018076092e-18,0,0,0,1,6.123233995736766e-17
-0.031985951,3.917149244443612e-18,0,0,0,1,6.123233995736766e-17
-0.036105919,4.421699865078885e-18,0,0,0,1,6.123233995736766e-17
-0.03998642,4.89692415973987e-18,0,0,0,1,6.123233995736766e-17
-0.044006921,5.38929343509789e-18,0,0,0,1,6.123233995736766e-17
-0.047986603,5.876664037609636e-18,0,0,0,1,6.123233995736766e-17
-0.051993466,6.367363195638176e-18,0,0,0,1,6.123233995736766e-17
-0.05597973,6.855539658959251e-18,0,0,0,1,6.123233995736766e-17
-0.059985925,7.346157062992641e-18,0,0,0,1,6.123233995736766e-17
-0.06398182,7.8355131196723e-18,0,0,0,1,6.123233995736766e-17
-0.067988874,8.32623563598517e-18,0,0,0,1,6.123233995736766e-17
-0.071986772,8.815836954650276e-18,0,0,0,1,6.123233995736766e-17
-0.075973226,9.30403677625568e-18,0,0,0,1,6.123233995736766e-17
-0.080006315,9.797947698379372e-18,0,0,0,1,6.123233995736766e-17
-0.083970453,1.0283414600718354e-17,0,0,0,1,6.123233995736766e-17
-0.087970353,1.0773261181368909e-17,0,0,0,1,6.123233995736766e-17
-0.091976549,1.12638785854023e-17,0,0,0,1,6.123233995736766e-17
-0.095978166,1.175393539061181e-17,0,0,0,1,6.123233995736766e-17
-0.099973775,1.2243256409864975e-17,0,0,0,1,6.123233995736766e-17
-0.103975011,1.2733266498505828e-17,0,0,0,1,6.123233995736766e-17
-0.107971193,1.3222657592611979e-17,0,0,0,1,6.123233995736766e-17
-0.111974432,1.371291294323828e-17,0,0,0,1,6.123233995736766e-17
-0.115980913,1.4203565384698162e-17,0,0,0,1,6.123233995736766e-17
-0.119972898,1.469244259654909e-17,0,0,0,1,6.123233995736766e-17
-0.123970987,1.5182067273498524e-17,0,0,0,1,6.123233995736766e-17
-0.127976419,1.56725912443946e-17,0,0,0,1,6.123233995736766e-17
-0.131972601,1.616198233850075e-17,0,0,0,1,6.123233995736766e-17
-0.136045649,1.666078682119124e-17,0,0,0,1,6.123233995736766e-17
-0.139967062,1.7141021467840664e-17,0,0,0,1,6.123233995736766e-17
-0.143972685,1.763156879702107e-17,0,0,0,1,6.123233995736766e-17
-0.148276713,1.815866016203323e-17,0,0,0,1,6.123233995736766e-17
-0.152436926,1.8668139380661793e-17,0,0,0,1,6.123233995736766e-17
-0.155971434,1.910099174755109e-17,0,0,0,1,6.123233995736766e-17
-0.159984877,1.9592496766388957e-17,0,0,0,1,6.123233995736766e-17
-0.163966467,2.0080100951743988e-17,0,0,0,1,6.123233995736766e-17
-0.167973044,2.0570765072346035e-17,0,0,0,1,6.123233995736766e-17
-0.171986582,2.1062281770326067e-17,0,0,0,1,6.123233995736766e-17
-0.175972655,2.1550434875362814e-17,0,0,0,1,6.123233995736766e-17
-0.179990771,2.204251217216673e-17,0,0,0,1,6.123233995736766e-17
-0.184002974,2.2533865362156464e-17,0,0,0,1,6.123233995736766e-17
-0.187975791,2.302039506643239e-17,0,0,0,1,6.123233995736766e-17
-0.192011645,2.3514644683678845e-17,0,0,0,1,6.123233995736766e-17
-0.195992091,2.4002108719327903e-17,0,0,0,1,6.123233995736766e-17
-0.20052481,2.45572066672498e-17,0,0,0,1,6.123233995736766e-17
-0.203976443,2.4979909859598415e-17,0,0,0,1,6.123233995736766e-17
-0.208005431,2.547331857860905e-17,0,0,0,1,6.123233995736766e-17
-0.212130454,2.5978488193779023e-17,0,0,0,1,6.123233995736766e-17
-0.215982154,2.645018538750642e-17,0,0,0,1,6.123233995736766e-17
-0.220003799,2.694269481257041e-17,0,0,0,1,6.123233995736766e-17
-0.224000171,2.7432109264960888e-17,0,0,0,1,6.123233995736766e-17
-0.22799435,2.7921255097081594e-17,0,0,0,1,6.123233995736766e-17
-0.231990627,2.841065787032991e-17,0,0,0,1,6.123233995736766e-17
-0.235991481,2.89006212424021e-17,0,0,0,1,6.123233995736766e-17
-0.239997963,2.939127368386199e-17,0,0,0,1,6.123233995736766e-17
-0.243994621,2.988072317367896e-17,0,0,0,1,6.123233995736766e-17
-0.248005298,3.037188949739407e-17,0,0,0,1,6.123233995736766e-17
-0.251986317,3.085942360789611e-17,0,0,0,1,6.123233995736766e-17
-0.25598555,3.1349188434551514e-17,0,0,0,1,6.123233995736766e-17
-0.259979252,3.1838275870961394e-17,0,0,0,1,6.123233995736766e-17
-0.264075474,3.2339918385197784e-17,0,0,0,1,6.123233995736766e-17
-0.267981438,3.281826101081661e-17,0,0,0,1,6.123233995736766e-17
-0.271981243,3.3308095912325e-17,0,0,0,1,6.123233995736766e-17
-0.275985913,3.379852645008376e-17,0,0,0,1,6.123233995736766e-17
-0.279977803,3.4287391982792524e-17,0,0,0,1,6.123233995736766e-17
-0.283980469,3.477757725856584e-17,0,0,0,1,6.123233995736766e-17
-0.287985901,3.526810122946192e-17,0,0,0,1,6.123233995736766e-17
-0.292006688,3.5760505542246435e-17,0,0,0,1,6.123233995736766e-17
-0.295974068,3.6246369535419e-17,0,0,0,1,6.123233995736766e-17
-0.299969201,3.6735632158961346e-17,0,0,0,1,6.123233995736766e-17
-0.303972344,3.722587583044548e-17,0,0,0,1,6.123233995736766e-17
-0.307971196,3.771559394053223e-17,0,0,0,1,6.123233995736766e-17
-0.311971192,3.8205452200324945e-17,0,0,0,1,6.123233995736766e-17
-0.315967278,3.869483161528893e-17,0,0,0,1,6.123233995736766e-17
-0.319969563,3.9184970174493593e-17,0,0,0,1,6.123233995736766e-17
-0.323966413,3.967444302259489e-17,0,0,0,1,6.123233995736766e-17
-0.327969556,4.0164686694079025e-17,0,0,0,1,6.123233995736766e-17
-0.331976705,4.0655420889534055e-17,0,0,0,1,6.123233995736766e-17
-0.335988145,4.1146680646386476e-17,0,0,0,1,6.123233995736766e-17
-0.339985185,4.16361768527721e-17,0,0,0,1,6.123233995736766e-17
-0.343972593,4.2124493465799145e-17,0,0,0,1,6.123233995736766e-17
-0.347993188,4.261687442029933e-17,0,0,0,1,6.123233995736766e-17
-0.352004438,4.3108110818867424e-17,0,0,0,1,6.123233995736766e-17
-0.355975919,4.359447701515305e-17,0,0,0,1,6.123233995736766e-17
-0.359992605,4.40863791248245e-17,0,0,0,1,6.123233995736766e-17
-0.36398316,4.4575081149542964e-17,0,0,0,1,6.123233995736766e-17
-0.368001276,4.5067158446346876e-17,0,0,0,1,6.123233995736766e-17
-0.372010809,4.555818462035601e-17,0,0,0,1,6.123233995736766e-17
-0.375992781,4.60458355222797e-17,0,0,0,1,6.123233995736766e-17
-0.379984766,4.653471273413062e-17,0,0,0,1,6.123233995736766e-17
-0.383984667,4.702455931478118e-17,0,0,0,1,6.123233995736766e-17
-0.38799563,4.7515760675922776e-17,0,0,0,1,6.123233995736766e-17
-0.391978174,4.8003481652699446e-17,0,0,0,1,6.123233995736766e-17
-0.395970923,4.8492452297687687e-17,0,0,0,1,6.123233995736766e-17
-0.400004488,4.89864216155222e-17,0,0,0,1,6.123233995736766e-17
-0.403974825,4.9472647662101854e-17,0,0,0,1,6.123233995736766e-17
-0.407969576,4.996186356907554e-17,0,0,0,1,6.123233995736766e-17
-0.411975771,5.045248097310893e-17,0,0,0,1,6.123233995736766e-17
-0.415972811,5.0941977179494556e-17,0,0,0,1,6.123233995736766e-17
-0.419970042,5.1431496744164516e-17,0,0,0,1,6.123233995736766e-17
-0.423968894,5.1921214854251265e-17,0,0,0,1,6.123233995736766e-17
-0.427969367,5.2411131509754804e-17,0,0,0,1,6.123233995736766e-17
-0.432001502,5.2904925640456855e-17,0,0,0,1,6.123233995736766e-17
-0.43597985,5.33921327349783e-17,0,0,0,1,6.123233995736766e-17
-0.439971358,5.388095155111841e-17,0,0,0,1,6.123233995736766e-17
-0.443970591,5.4370716377773813e-17,0,0,0,1,6.123233995736766e-17
-0.44798022,5.4861754230925117e-17,0,0,0,1,6.123233995736766e-17
-0.451988132,5.5352581859517464e-17,0,0,0,1,6.123233995736766e-17
-0.45611077,5.585745949613334e-17,0,0,0,1,6.123233995736766e-17
-0.45999747,5.6333442935035e-17,0,0,0,1,6.123233995736766e-17
-0.46399451,5.682293914142063e-17,0,0,0,1,6.123233995736766e-17
-0.468000324,5.731350982888537e-17,0,0,0,1,6.123233995736766e-17
-0.471974094,5.780015632458293e-17,0,0,0,1,6.123233995736766e-17
-0.475967987,5.828926711927714e-17,0,0,0,1,6.123233995736766e-17
-0.47998019,5.878062030926688e-17,0,0,0,1,6.123233995736766e-17
-0.483967025,5.926886684744094e-17,0,0,0,1,6.123233995736766e-17
-0.487972934,5.975944921404784e-17,0,0,0,1,6.123233995736766e-17
-0.491974361,6.024948266097302e-17,0,0,0,1,6.123233995736766e-17
-0.495974739,6.07393876373344e-17,0,0,0,1,6.123233995736766e-17
-0.499973495,6.122909406827899e-17,0,0,0,1,6.123233995736766e-17
-0.503986652,6.172056404969036e-17,0,0,0,1,6.123233995736766e-17
-0.507988747,6.221067925061069e-17,0,0,0,1,6.123233995736766e-17
-0.511986931,6.270031560670229e-17,0,0,0,1,6.123233995736766e-17
-0.515988739,6.319039577019612e-17,0,0,0,1,6.123233995736766e-17
-0.520385273,6.372881590310756e-17,0,0,0,1,6.123233995736766e-17
-0.523983582,6.41694816161047e-17,0,0,0,1,6.123233995736766e-17
-0.527989777,6.466009902013809e-17,0,0,0,1,6.123233995736766e-17
-0.532260426,6.518310268539278e-17,0,0,0,1,6.123233995736766e-17
-0.535972508,6.56377016149918e-17,0,0,0,1,6.123233995736766e-17
-0.539994629,6.613026943576661e-17,0,0,0,1,6.123233995736766e-17
-0.543974312,6.661764003827836e-17,0,0,0,1,6.123233995736766e-17
-0.547974309,6.710749829807108e-17,0,0,0,1,6.123233995736766e-17
-0.551976212,6.759759014070708e-17,0,0,0,1,6.123233995736766e-17
-0.555970105,6.808670093540129e-17,0,0,0,1,6.123233995736766e-17
-0.559988889,6.857885998620035e-17,0,0,0,1,6.123233995736766e-17
-0.563986024,6.906836787172815e-17,0,0,0,1,6.123233995736766e-17
-0.567990693,6.955879840948692e-17,0,0,0,1,6.123233995736766e-17
-0.571978959,7.004722013479345e-17,0,0,0,1,6.123233995736766e-17
-0.575985631,7.053789593453766e-17,0,0,0,1,6.123233995736766e-17
-0.579987725,7.102801113545799e-17,0,0,0,1,6.123233995736766e-17
-0.5844637,7.157615999379219e-17,0,0,0,1,6.123233995736766e-17
-0.587981805,7.200700354822925e-17,0,0,0,1,6.123233995736766e-17
-0.591993436,7.249828666336599e-17,0,0,0,1,6.123233995736766e-17
-0.595998678,7.298878727597774e-17,0,0,0,1,6.123233995736766e-17
-0.600005636,7.347949811314844e-17,0,0,0,1,6.123233995736766e-17
-0.603998765,7.396851547470534e-17,0,0,0,1,6.123233995736766e-17
-0.607998094,7.44582919805029e-17,0,0,0,1,6.123233995736766e-17
-0.611984357,7.494646844382397e-17,0,0,0,1,6.123233995736766e-17
-0.615993318,7.543742454298012e-17,0,0,0,1,6.123233995736766e-17
-0.620006571,7.592890620353366e-17,0,0,0,1,6.123233995736766e-17
-0.62398673,7.641633520175623e-17,0,0,0,1,6.123233995736766e-17
-0.627981863,7.690559782529857e-17,0,0,0,1,6.123233995736766e-17
-0.631980619,7.739530425624316e-17,0,0,0,1,6.123233995736766e-17
-0.635986147,7.78858399062814e-17,0,0,0,1,6.123233995736766e-17
-0.63998271,7.837527771695621e-17,0,0,0,1,6.123233995736766e-17
-0.643985758,7.886550970929818e-17,0,0,0,1,6.123233995736766e-17
-0.64797698,7.93542934880118e-17,0,0,0,1,6.123233995736766e-17
-0.651983557,7.984495760861385e-17,0,0,0,1,6.123233995736766e-17
-0.655984221,8.033489762240171e-17,0,0,0,1,6.123233995736766e-17
-0.659983836,8.082470916562578e-17,0,0,0,1,6.123233995736766e-17
-0.663974581,8.131343454862858e-17,0,0,0,1,6.123233995736766e-17
-0.667990885,8.180528994173137e-17,0,0,0,1,6.123233995736766e-17
-0.671981059,8.229394524988118e-17,0,0,0,1,6.123233995736766e-17
-0.675980006,8.278367503911009e-17,0,0,0,1,6.123233995736766e-17
-0.679980956,8.327365009032444e-17,0,0,0,1,6.123233995736766e-17
-0.683983336,8.376380032867126e-17,0,0,0,1,6.123233995736766e-17
-0.688141642,8.427304596445654e-17,0,0,0,1,6.123233995736766e-17
-0.691988383,8.47441358427914e-17,0,0,0,1,6.123233995736766e-17
-0.695979701,8.523293130064717e-17,0,0,0,1,6.123233995736766e-17
-0.699970637,8.572168004193429e-17,0,0,0,1,6.123233995736766e-17
-0.703982364,8.62129748362132e-17,0,0,0,1,6.123233995736766e-17
-0.708003341,8.670540250728205e-17,0,0,0,1,6.123233995736766e-17
-0.711972247,8.719145336672923e-17,0,0,0,1,6.123233995736766e-17
-0.715983306,8.768266640701299e-17,0,0,0,1,6.123233995736766e-17
-0.72001115,8.817593497631766e-17,0,0,0,1,6.123233995736766e-17
-0.724508678,8.872672332078097e-17,0,0,0,1,6.123233995736766e-17
-0.727968799,8.91504659567822e-17,0,0,0,1,6.123233995736766e-17
-0.731976711,8.964129358537454e-17,0,0,0,1,6.123233995736766e-17
-0.735980808,9.013165404828032e-17,0,0,0,1,6.123233995736766e-17
-0.739979183,9.062131376265625e-17,0,0,0,1,6.123233995736766e-17
-0.74397422,9.111056470705643e-17,0,0,0,1,6.123233995736766e-17
-0.747974693,9.160048136255997e-17,0,0,0,1,6.123233995736766e-17
-0.751973163,9.209015275607806e-17,0,0,0,1,6.123233995736766e-17
-0.755971062,9.257975407474317e-17,0,0,0,1,6.123233995736766e-17
-0.759984886,9.30713058101497e-17,0,0,0,1,6.123233995736766e-17
-0.763971054,9.355947059432861e-17,0,0,0,1,6.123233995736766e-17
-0.767983067,9.405080042603402e-17,0,0,0,1,6.123233995736766e-17
-0.771971237,9.453921047219838e-17,0,0,0,1,6.123233995736766e-17
-0.776717865,9.512050473599456e-17,0,0,0,1,6.123233995736766e-17
-0.779980957,9.552011826428456e-17,0,0,0,1,6.123233995736766e-17
-0.783986485,9.601065391432281e-17,0,0,0,1,6.123233995736766e-17
-0.787989342,9.650086254838045e-17,0,0,0,1,6.123233995736766e-17
-0.791976941,9.698920251969182e-17,0,0,0,1,6.123233995736766e-17
-0.795983612,9.747987831943604e-17,0,0,0,1,6.123233995736766e-17
-0.799983418,9.796971322094443e-17,0,0,0,1,6.123233995736766e-17
-0.803983891,9.845962987644797e-17,0,0,0,1,6.123233995736766e-17
-0.8079754,9.894844869258808e-17,0,0,0,1,6.123233995736766e-17
-0.811971677,9.94378514658364e-17,0,0,0,1,6.123233995736766e-17
-0.815969861,9.9927487821928e-17,0,0,0,1,6.123233995736766e-17
-0.820010388,1.004223097171405e-16,0,0,0,1,6.123233995736766e-17
-0.82398597,1.0090917811653919e-16,0,0,0,1,6.123233995736766e-17
-0.827980912,1.0139841738179721e-16,0,0,0,1,6.123233995736766e-17
-0.83198644,1.0188895303183546e-16,0,0,0,1,6.123233995736766e-17
-0.835986341,1.0237879961248601e-16,0,0,0,1,6.123233995736766e-17
-0.839974988,1.028672680543612e-16,0,0,0,1,6.123233995736766e-17
-0.843972505,1.0335682265645765e-16,0,0,0,1,6.123233995736766e-17
-0.847987664,1.0384853789985448e-16,0,0,0,1,6.123233995736766e-17
-0.852367795,1.0438494922031367e-16,0,0,0,1,6.123233995736766e-17
-0.855993379,1.0482895516796977e-16,0,0,0,1,6.123233995736766e-17
-0.860007966,1.0532060033651361e-16,0,0,0,1,6.123233995736766e-17
-0.863996614,1.058090687783888e-16,0,0,0,1,6.123233995736766e-17
-0.867987264,1.0629778248224942e-16,0,0,0,1,6.123233995736766e-17
-0.871973623,1.0678597062471266e-16,0,0,0,1,6.123233995736766e-17
-0.875978864,1.0727647123732441e-16,0,0,0,1,6.123233995736766e-17
-0.879983629,1.0776691345422533e-16,0,0,0,1,6.123233995736766e-17
-0.883984865,1.0825692354286619e-16,0,0,0,1,6.123233995736766e-17
-0.887986006,1.0874692195236487e-16,0,0,0,1,6.123233995736766e-17
-0.891985334,1.0923669845816244e-16,0,0,0,1,6.123233995736766e-17
-0.895971884,1.0972490995891001e-16,0,0,0,1,6.123233995736766e-17
-0.899973024,1.102149083684087e-16,0,0,0,1,6.123233995736766e-17
-0.904333891,1.1074896050215072e-16,0,0,0,1,6.123233995736766e-17
-0.90796739,1.1119393581860645e-16,0,0,0,1,6.123233995736766e-17
-0.911968149,1.1168388751153649e-16,0,0,0,1,6.123233995736766e-17
-0.916459002,1.122338583160483e-16,0,0,0,1,6.123233995736766e-17
-0.919972243,1.1266410623423498e-16,0,0,0,1,6.123233995736766e-17
-0.923967375,1.1315336885777732e-16,0,0,0,1,6.123233995736766e-17
-0.927980437,1.1364482716004653e-16,0,0,0,1,6.123233995736766e-17
-0.931969847,1.1413338903505903e-16,0,0,0,1,6.123233995736766e-17
-0.935966982,1.1462289692058682e-16,0,0,0,1,6.123233995736766e-17
-0.93996612,1.1511265006810005e-16,0,0,0,1,6.123233995736766e-17
-0.943972697,1.156033141887021e-16,0,0,0,1,6.123233995736766e-17
-0.947972121,1.1609310237364185e-16,0,0,0,1,6.123233995736766e-17
-0.951971545,1.165828905585816e-16,0,0,0,1,6.123233995736766e-17
-0.955971446,1.1707273713923214e-16,0,0,0,1,6.123233995736766e-17
-0.959972682,1.17562747227873e-16,0,0,0,1,6.123233995736766e-17
-0.963968291,1.1805206824712616e-16,0,0,0,1,6.123233995736766e-17
-0.968165031,1.185660205772036e-16,0,0,0,1,6.123233995736766e-17
-0.971971908,1.1903222857411382e-16,0,0,0,1,6.123233995736766e-17
-0.975968471,1.1952166638478863e-16,0,0,0,1,6.123233995736766e-17
-0.980444827,1.2006986195969149e-16,0,0,0,1,6.123233995736766e-17
-0.983982101,1.2050305302170355e-16,0,0,0,1,6.123233995736766e-17
-0.987990299,1.2099391568772238e-16,0,0,0,1,6.123233995736766e-17
-0.991990772,1.2148383234322593e-16,0,0,0,1,6.123233995736766e-17
-0.995973602,1.2197158835742909e-16,0,0,0,1,6.123233995736766e-17
-0.999970165,1.224610261681039e-16,0,0,0,1,6.123233995736766e-17
-1.003970543,1.2295093114446526e-16,0,0,0,1,6.123233995736766e-17
-1.007968441,1.2344053246313036e-16,0,0,0,1,6.123233995736766e-17
-1.011972538,1.2393089292603613e-16,0,0,0,1,6.123233995736766e-17
-1.015965858,1.2441993364587736e-16,0,0,0,1,6.123233995736766e-17
-1.019982639,1.2491184743469097e-16,0,0,0,1,6.123233995736766e-17
-1.023974911,1.254007596839684e-16,0,0,0,1,6.123233995736766e-17
-1.02796928,1.2588992887437344e-16,0,0,0,1,6.123233995736766e-17
-1.031969753,1.2637984552987698e-16,0,0,0,1,6.123233995736766e-17
-1.035970322,1.2686977386452268e-16,0,0,0,1,6.123233995736766e-17
-1.039971367,1.273597605948792e-16,0,0,0,1,6.123233995736766e-17
-1.044430939,1.2790590064076116e-16,0,0,0,1,6.123233995736766e-17
-1.047970215,1.2833933696475867e-16,0,0,0,1,6.123233995736766e-17
-1.051968495,1.2882898499999243e-16,0,0,0,1,6.123233995736766e-17
-1.055972973,1.2931939217946687e-16,0,0,0,1,6.123233995736766e-17
-1.060062806,1.2982025219117825e-16,0,0,0,1,6.123233995736766e-17
-1.06397392,1.3029922549047393e-16,0,0,0,1,6.123233995736766e-17
-1.067966191,1.3078813773975136e-16,0,0,0,1,6.123233995736766e-17
-1.071973531,1.3127889529349073e-16,0,0,0,1,6.123233995736766e-17
-1.075971906,1.3176855500786665e-16,0,0,0,1,6.123233995736766e-17
-1.079987447,1.3226031696783214e-16,0,0,0,1,6.123233995736766e-17
-1.083974759,1.32748621901717e-16,0,0,0,1,6.123233995736766e-17
-1.087968652,1.3323773269641121e-16,0,0,0,1,6.123233995736766e-17
-1.091975514,1.3372843185443976e-16,0,0,0,1,6.123233995736766e-17
-1.09596893,1.3421748425342315e-16,0,0,0,1,6.123233995736766e-17
-1.099978368,1.3470849874829012e-16,0,0,0,1,6.123233995736766e-17
-1.103972642,1.35197656259553e-16,0,0,0,1,6.123233995736766e-17
-1.107974164,1.3568770138562034e-16,0,0,0,1,6.123233995736766e-17
-1.112184446,1.362033121538851e-16,0,0,0,1,6.123233995736766e-17
-1.115972536,1.3666721935978898e-16,0,0,0,1,6.123233995736766e-17
-1.119984834,1.3715858422892088e-16,0,0,0,1,6.123233995736766e-17
-1.124278944,1.3768446096314797e-16,0,0,0,1,6.123233995736766e-17
-1.127976339,1.381372613048537e-16,0,0,0,1,6.123233995736766e-17
-1.131974714,1.3862692101922962e-16,0,0,0,1,6.123233995736766e-17
-1.13598377,1.3911788879752795e-16,0,0,0,1,6.123233995736766e-17
-1.139981478,1.3960746675790874e-16,0,0,0,1,6.123233995736766e-17
-1.143992536,1.400986797981925e-16,0,0,0,1,6.123233995736766e-17
-1.147966497,1.405853496521744e-16,0,0,0,1,6.123233995736766e-17
-1.151971834,1.4107586194392832e-16,0,0,0,1,6.123233995736766e-17
-1.155979746,1.4156668957252067e-16,0,0,0,1,6.123233995736766e-17
-1.160442465,1.4211321503009405e-16,0,0,0,1,6.123233995736766e-17
-1.163977736,1.4254616083012067e-16,0,0,0,1,6.123233995736766e-17
-1.168063086,1.4304647192215034e-16,0,0,0,1,6.123233995736766e-17
-1.171986979,1.4352701022649603e-16,0,0,0,1,6.123233995736766e-17
-1.175987166,1.4401689184457308e-16,0,0,0,1,6.123233995736766e-17
-1.179989928,1.4450708879948856e-16,0,0,0,1,6.123233995736766e-17
-1.183984583,1.4499629302732008e-16,0,0,0,1,6.123233995736766e-17
-1.187982005,1.4548583595027435e-16,0,0,0,1,6.123233995736766e-17
-1.192009276,1.4597903444472602e-16,0,0,0,1,6.123233995736766e-17
